Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Abacavir  ,1,Abacavir,136470-78-5,2922.50.99,NVE
Acamprosato,15,Acamprosate,77337-76-9,2924.19.99,NVE
Acarbose,17,Acarbose,56180-94-0,2932.99.99,NVE
Acebutolol,20,Acebutolol,37517-30-9,2924.29.99,NVE
Aceclidina,25,Aceclidine,827-61-2,2933.39.99,NVE
Aceclofenaco,27,Aceclofenac,89796-99-6,2922.49.69,NVE
Acefurato de Dexametasona,2818,Dexamethasone Acefurate,83880-70-0,2937.22.90,NVE
Acemetacina,40,Acemetacin,53164-05-9,2933.99.99,NVE
Aceponato de Hidrocortisona,4665,Hydrocortisone Aceponate,74050-20-7,2937.29.90,NVE
Aceponato de Metilprednisolona,5813,Methylprednisolone Aceponate,86401-95-8,2937.29.10,NVE
Acepromazina  ,44,Acepromazine,61-00-7,2934.30.90,NVE
Acetarsol Sódico,52,Acetarsol Sodium,55588-51-7,2931.90.59,NVE
Acetato de Betametasona,1214,Betamethasone Acetate,987-24-6,2937.22.90,NVE
Acetato de Busserrelina,1567,Buserelin Acetate,68630-75-1,2937.90.90,NVE
Acetato de Caspofungina,56,Caspofungin Acetate,179463-17-3,2941.90.99,NVE
Acetato de Cetrorrelix,57,Cetrorelix Acetate,145672-81-7,2937.90.90,NVE
Acetato de Ciproterona,2146,Cyproterone Acetate,427-51-0,2937.29.31,NVE
Acetato de Clostebol  ,2522,Clostebol Acetate,855-19-6,2937.29.90,NVE
Acetato de Cortisona,2611,Cortisone Acetate,50-04-4,2937.29.90,NVE
Acetato de Desmopressina Anidro,2792,Desmopressin Acetate Anhydrous,62288-83-9,2937.90.90,NVE
Acetato de Dexametasona Anidro,2819,Dexamethasone Acetate Anhydrous,1177-87-3,2937.22.10,NVE
Acetato de Ergocalciferol,3478,Ergocalciferol Acetate,2579-08-0,2936.29.29,NVE
Acetato de Estradiol,3596,Estradiol Acetate,4245-41-4,2937.23.49,NVE
Acetato de Flecainida,4069,Flecainide Acetate,54143-56-5,2933.39.19,NVE
Acetato de Fludrocortisona,4119,Fludrocortisone Acetate,514-36-3,2937.22.90,NVE
Acetato de Flunisolida,4153,Flunisolide Acetate,4533-89-5,2937.22.90,NVE
Acetato de Fluormetolona,4173,Fluorometholone Acetate,3801-06-7,2937.22.90,NVE
Acetato de Fluprednideno,4193,Fluprednidene Acetate,1255-35-2,2937.22.90,NVE
Acetato de Fluprednisolona,4196,Fluprednisolone Acetate,34253-70-8,2937.22.90,NVE
Acetato de Ganirrelix,4401,Ganirelix Acetate,129311-55-3,2937.90.90,NVE
Acetato de Glatirâmer,4446,Glatiramer Acetate,147245-92-9,2922.49.90,NVE
Acetato de Gosserrelina,4531,Goserelin Acetate,145781-92-6,2937.90.90,NVE
Acetato de Guanabenzo,4552,Guanabenz Acetate,23256-50-0,2928.00.90,NVE
Acetato de Hidrocortisona,4666,Hydrocortisone Acetate,50-03-3,2937.29.90,NVE
Acetato de Hidroxiprogesterona,4709,Hydroxyprogesterone Acetate,302-23-8,2937.23.99,NVE
Acetato de Hidroxocobalamina,4720,Hydroxocobalamin Acetate,22465-48-1,2936.26.30,NVE
Acetato de Lanreotida,5164,Lanreotide Acetate,127984-74-1,2937.19.90,NVE
Acetato de Leuprorrelina,5220,Leuprorelin Acetate,74381-53-6,2937.90.90,NVE
Acetato de Medroxiprogesterona,5563,Medroxyprogesterone Acetate,71-58-9,2937.23.10,NVE
Acetato de Megestrol,5582,Megestrol Acetate,595-33-5,2937.23.99,NVE
Acetato de Merisoprol (197 Hg),9722,Merisoprol Acetate Hg 197,24359-51-1,2844.40.90,NVE
Acetato de Merisoprol (203 Hg),9723,Merisoprol Acetate Hg 203,24359-50-0,2844.40.90,NVE
Acetato de Metilprednisolona,5814,Methylprednisolone Acetate,53-36-1,2937.29.10,NVE
Acetato de Nafarrelina,6174,Nafarelin Acetate,86220-42-0,2937.90.90,NVE
Acetato de Nomegestrol,6460,Nomegestrol Acetate,58652-20-3,2937.23.29,NVE
Acetato de Noretisterona,6492,Norethisterone Acetate,51-98-9,2937.23.99,NVE
Acetato de Octreotida,6571,Octreotide Acetate,79517-01-4,2937.19.90,NVE
Acetato de Prednisolona,7334,Prednisolone Acetate,52-21-1,2937.29.90,NVE
Acetato de Prednisona,7342,Prednisone Acetate,125-10-0,2937.29.90,NVE
Acetato de Retinol,7694,Retinol Acetate,127-47-9,2936.21.12,NVE
Acetato de Somatostatina,8045,Somatostatin Acetate,55369-74-9,2937.19.90,NVE
Acetato de Teriparatida,8428,Teriparatide Acetate,99294-94-7,2937.90.90,NVE
Acetato de Tetracosactida,8468,Tetracosactide Acetate,60189-34-6,2937.19.90,NVE
Acetato de Tocoferol,8717,Tocopherol Acetate,58-95-7,2936.28.12,NVE
Acetato de Triptorrelina,8950,Triptorelin Acetate,140194-24-7,2937.90.90,NVE
Acetato de Zuclopentixol  ,9314,Zuclopentixol Acetate,85721-05-7,2934.99.49,NVE
Acetazolamida,63,Acetazolamide,59-66-5,2935.90.29,NVE
Acetazolamida Sódica,64,Acetazolamide Sodium,1424-27-7,2935.90.29,NVE
Acetilcisteína,67,Acetylcysteine,616-91-1,2930.90.19,NVE
Acetilmetionina,74,Acetylmethionine,1115-47-5,2930.90.39,NVE
Acibutato de Betametasona,1215,Betamethasone Acibutate,5534-05-4,2937.22.90,NVE
Aciclovir,82,Aciclovir,59277-89-3,2933.59.42,NVE
Aciclovir Sódico,83,Aciclovir Sodium,69657-51-8,2933.59.49,NVE
Ácido Acetilsalicílico,89,Acetylsalicylic Acid,50-78-2,2918.22.11,NVE
Ácido Acexâmico,93,Acexamic Acid,57-08-9,2924.19.29,NVE
Ácido Alendrônico,96,Alendronic Acid,66376-36-1,2931.39.99,NVE
Ácido Aminocaproico,100,Aminocaproic Acid,60-32-2,2922.49.90,NVE
Ácido Araquidônico,103,Arachidonic Acid,506-32-1,2916.19.90,NVE
Ácido Ascórbico,104,Ascorbic Acid,50-81-7,2936.27.10,NVE
Ácido Azelaico,113,Azelaic Acid,123-99-9,2917.13.10,NVE
Ácido Bórico,116,Ortoboric Acid,10043-35-3,2810.00.10,NVE
Ácido Clavulânico,136,Clavulanic Acid,58001-44-8,2934.99.99,NVE
Ácido Desidrocólico,157,Deshydrocholic Acid,81-23-2,2918.30.31,NVE
Ácido Diatrizoico,163,Diatrizoic Acid,117-96-4,2924.29.99,NVE
Ácido Flufenâmico,192,Flufenamic Acid,530-78-9,2922.49.90,NVE
Ácido Fólico,194,Folic Acid,59-30-3,2936.29.11,NVE
Ácido Folínico,196,Folinic Acid,58-05-9,2936.29.19,NVE
Ácido Fusídico,217,Fusidic Acid,6990-06-3,2941.90.99,NVE
Ácido Gamaminobutírico,99,Gamma-Aminobutyric Acid,56-12-2,2922.49.90,NVE
Ácido Iocanlídico (123 I),239,Iocanlidic Acid I 123,74855-17-7,2844.40.90,NVE
Ácido Iocetâmico,241,Iocetamic Acid,16034-77-8,2924.29.49,NVE
Ácido Iodocetílico (123 I),242,Iodocetylic Acid I 123,54510-20-2,2844.40.90,NVE
Ácido Iodofíltico (123 I),9724,Iodofiltic Acid I 123,123748-56-1,2844.40.90,NVE
Ácido Ioglícico,246,Ioglycic Acid,49755-67-1,2924.29.99,NVE
Ácido Iopanoico,252,Iopanoic Acid,96-83-3,2922.49.90,NVE
Ácido Ioxitalâmico,268,Ioxitalamic Acid,28179-44-4,2924.29.47,NVE
Ácido Linoleico,280,Linoleic Acid,60-33-3,2916.15.20,NVE
Ácido Mefenâmico,286,Mefenamic Acid,61-68-7,2922.49.90,NVE
Ácido Nalidíxico,294,Nalidixic Acid,389-08-2,2933.99.92,NVE
Ácido Nicotínico,296,Nicotinic Acid,59-67-6,2936.29.51,NVE
Ácido Oleico,305,Oleic Acid,112-80-1,2916.15.19,NVE
Ácido Orótico,307,Orotic Acid,65-86-1,2933.59.99,NVE
Ácido Oxálico,n.d.,Oxalic Acid,144-62-7,2917.11.10,NVE
Ácido Oxolínico,312,Oxolinic Acid,14698-29-4,2934.99.99,NVE
Ácido Pantotênico,316,Pantothenic Acid,79-83-4,2936.24.90,NVE
Ácido Paraminossalicílico,319,Para-Aminosalicylic Acid,65-49-6,2922.50.99,NVE
Ácido Pipemídico,327,Pipemidic Acid,51940-44-4,2933.59.19,NVE
Ácido Sulfanílico,n.d.,Sulfanilic Acid,121-57-3,2921.42.11,NVE
Ácido Tiaprofênico,357,Tiaprofenic Acid,33005-95-7,2934.99.69,NVE
Ácido Tolfenâmico,364,Tolfenamic Acid,13710-19-5,2922.49.90,NVE
Ácido Tranexâmico,365,Tranexamic Acid,1197-18-8,2922.49.90,NVE
Ácido Tricloroacético,366,Trichloroacetic Acid,76-03-9,2915.40.90,NVE
Ácido Undecilênico,367,Undecylenic Acid,112-38-9,2916.19.21,NVE
Ácido Ursodesoxicólico,369,Ursodeoxycholic Acid,128-13-2,2918.19.21,NVE
Ácido Valproico  ,372,Valproic Acid,99-66-1,2915.90.90,NVE
Ácido Zoledrônico,379,Zoledronic Acid,118072-93-8,2933.29.99,NVE
Acipimox,381,Acipimox,51037-30-0,2933.99.99,NVE
Acitretina  ,383,Acitretin,55079-83-9,2936.21.90,NVE
Acriflavina,394,Acriflavine,8048-52-0,2933.99.99,NVE
Actinomicina,403,Actinomycin,1402-38-6,2941.20.90,NVE
Adapaleno  ,410,Adapalene,106685-40-9,2918.99.99,NVE
Adefovir,415,Adefovir,106941-25-7,2933.59.49,NVE
Adefovir Divipoxila,416,Adefovir Dipivoxila,142340-99-6,2933.59.49,NVE
Ademetionina,417,Ademetionine,17176-17-9,2934.99.99,NVE
Adenosina,419,Adenosine,58-61-7,2934.99.99,NVE
Adifenina,423,Adiphenine,64-95-9,2922.19.99,NVE
Adipato de Piperazina,7100,Piperazine Adipate,142-88-1,2933.59.15,NVE
Alatrofloxacino,455,Alatrofloxacin,157182-32-6,2933.59.19,NVE
Albendazol,458,Albendazole,54965-21-8,2933.99.53,NVE
Alendronato de Sódio,97,Alendronate Monosodium,121268-17-5,2931.39.99,NVE
Alfacalcidol,495,Alfacalcidol,41294-56-8,2936.90.00,NVE
Alfaergocriptina,11252,Ergocryptine,511-09-1,2939.69.49,NVE
Alfatocoferol,n.d.,Alpha Tocoferol,1406-18-4,2936.28.11,NVE
Alfentanila  ,534,Alfentanil,71195-58-9,2933.33.11,NVE
Alfuzosina,539,Alfuzosin,81403-80-7,2934.99.99,NVE
Algestona,542,Algestone,595-77-7,2937.29.90,NVE
Algestona Acetofenida,9347,Algestone Acetophenide,24356-94-3,2937.29.90,NVE
Algestona Acetonida,543,Algestone Acetonide,4968-09-6,2937.29.90,NVE
Alilestrenol,550,Allylestrenol,432-60-0,2937.23.51,NVE
Alizaprida,561,Alizapride,59338-93-1,2933.99.44,NVE
Almitrina,569,Almitrine,27469-53-0,2933.69.99,NVE
Aloína,582,Aloin,5133-19-7,2938.90.90,NVE
Alopurinol,585,Allopurinol,315-30-0,2933.59.99,NVE
Alprazolam  ,597,Alprazolam,28981-97-7,2933.91.11,NVE
Alprostadil,600,Alprostadil,745-65-3,2937.50.00,NVE
Altretamina,612,Altretamine,645-05-6,2933.69.99,NVE
Amantadina  ,622,Amantadine,768-94-5,2921.30.90,NVE
Ambroxol,631,Ambroxol,18683-91-5,2922.19.39,NVE
Ambufilina,636,Ambuphylline,5634-34-4,2939.59.90,NVE
Amicacina,648,Amikacin,37517-28-5,2941.90.49,NVE
Amifostina,n.d.,Amifostine,112901-68-5,2930.90.99,NVE
Amilorida,671,Amiloride,2609-46-3,2933.99.19,NVE
Amineptina  ,676,Amineptine,57574-09-1,2922.49.90,NVE
Aminoacridina,681,Aminocridine,90-45-9,2933.99.99,NVE
Aminofenazona,682,Aminophenazone,58-15-1,2933.11.90,NVE
Aminofilina Anidra,685,Aminophylline Anhydrous,317-34-0,2939.59.20,NVE
Aminoglutetimida,687,Aminoglutethimide,125-84-8,2925.19.90,NVE
Aminoquinurida,692,Aminoquinuride,3811-56-1,2933.49.90,NVE
Amiodarona,699,Amiodarone,1951-25-3,2932.99.99,NVE
Amissulprida  ,708,Amisulpride,71675-85-9,2933.99.42,NVE
Amitriptilina  ,711,Amitriptyline,50-48-6,2921.49.90,NVE
Amobarbital  ,717,Amobarbital,57-43-2,2933.53.12,NVE
Amobarbital Sódico  ,718,Amobarbital Sodium,64-43-7,2933.53.12,NVE
Amodiaquina,720,Amodiaquine,86-42-0,2933.49.90,NVE
Amônia (13 N),9725,Ammonia N 13,34819-78-8,2844.40.90,NVE
Amorolfina,727,Amorolfine,78613-35-1,2934.99.19,NVE
Amoxapina  ,732,Amoxapine,14028-44-5,2934.99.99,NVE
Amoxicilina,734,Amoxicillin,26787-78-0,2941.10.20,NVE
Amoxicilina Sódica,735,Amoxicillin Sodium,34642-77-8,2941.10.20,NVE
Amoxicilina Tri-Hidratada,736,Amoxicillin Trihydrate,61336-70-7,2941.10.20,NVE
Ampicilina,738,Ampicillin,69-53-4,2941.10.10,NVE
Ampicilina Benzatina,739,Ampicillin Benzathine,33276-75-4,2941.10.10,NVE
Ampicilina Potássica,740,Ampicillin Potassium,23277-71-6,2941.10.10,NVE
Ampicilina Sódica,741,Ampicillin Sodium,69-52-3,2941.10.10,NVE
Ampicilina Tri-Hidratada,742,Ampicillin Trihydrate,7177-48-2,2941.10.10,NVE
Ampiroxicam,744,Ampiroxicam,99464-64-9,2934.99.99,NVE
Amprenavir  ,747,Amprenavir,161814-49-9,2934.99.99,NVE
Anfotericina B,786,Amphotericin B,1397-89-3,2941.90.62,NVE
Anlodipino,804,Amlodipine,88150-42-9,2933.39.99,NVE
Anrinona,808,Amrinone,60719-84-8,2933.79.90,NVE
Antimoniato de Meglumina,5587,Meglumine Antimonate,133-51-7,2922.19.99,NVE
Apomorfina,830,Apomorphine,58-00-4,2933.99.99,NVE
Apraclonidina,836,Apraclonidine,66711-21-5,2933.29.29,NVE
Aprotinina,846,Aprotinin,9087-70-1,2934.99.99,NVE
Arbecacina,854,Arbekacin,51025-85-5,2941.90.99,NVE
Arginina,866,Arginine,74-79-3,2925.29.19,NVE
Argipressina,872,Argipressin,113-79-1,2937.90.90,NVE
Aripiprazol  ,875,Aripiprazole,129722-12-9,2933.79.90,NVE
Arteméter,885,Artemether,71963-77-4,2932.99.99,NVE
Artemisinina,886,Artemisinin,63968-64-9,2932.99.99,NVE
Artesunato,9673,Artesunate,88495-63-0,2932.99.99,NVE
Artesunato de Sódio,889,Sodium Artesunate,82864-68-4,2932.99.99,NVE
Ascaridol,n.d.,Ascaridole,512-85-6,2909.60.20,NVE
Ascorbato de Cálcio,n.d.,Calcium Ascorbate,5743-28-2,2936.27.90,NVE
Ascorbato de Cálcio Anidro,106,Calcium Ascorbate Anhydrous,5743-27-1,2936.27.90,NVE
Ascorbato de Nicotinamida,6347,Nicotinamide Ascorbate,1987-71-9,2936.29.59,NVE
Ascorbato de Sódio,107,Sodium Ascorbate,134-03-2,2936.27.20,NVE
Aspartato de Arginina,868,Arginine Aspartate,7675-83-4,2925.29.11,NVE
Aspartato de Magnésio,110,Magnesium Aspartate,1187-91-3,2922.49.90,NVE
Aspartato de Ornitina,6642,Ornithine Aspartate,3230-94-2,2922.49.90,NVE
Aspartato de Potássio,111,Potassium Aspartate,2001-89-0,2922.49.90,NVE
Astemizol,904,Astemizole,68844-77-9,2933.39.99,NVE
Atazanavir  ,9566,Atazanavir,198904-31-3,2933.39.99,NVE
Atenolol,911,Atenolol,29122-68-7,2924.29.43,NVE
Atorvastatina,919,Atorvastatin,134523-00-5,2933.99.49,NVE
Atorvastatina Cálcica,920,Atorvastatin Calcium,134523-03-8,2933.99.49,NVE
Atorvastatina Lactona,921,Atorvastatin Lactone,125995-03-1,2933.99.49,NVE
Atorvastatina Sódica,922,Atorvastatin Sodium,134523-01-6,2933.99.49,NVE
Atosibana,923,Atosiban,90779-69-4,2934.99.99,NVE
Atovaquona,924,Atovaquone,95233-18-4,2914.79.19,NVE
Atropina,931,Atropine,51-55-8,2939.80.00,NVE
Azaciclonol  ,957,Azacyclonol,115-46-8,2933.39.99,NVE
Azatadina,981,Azatadine,3964-81-6,2933.39.99,NVE
Azatioprina,984,Azathioprine,446-86-6,2933.59.34,NVE
Azatioprina Sódica,985,Azathioprine Sodium,55774-33-9,2933.59.39,NVE
Azelastina,986,Azelastine,58581-89-8,2933.99.39,NVE
Azitromicina Anidra,997,Azithromycin Anhydrous,83905-01-5,2941.90.59,NVE
Aztreonam,1003,Aztreonam,78110-38-0,2941.90.99,NVE
Bacampicilina,1007,Bacampicillin,50972-17-3,2941.10.90,NVE
Bacitracina,1010,Bacitracin,1405-87-4,2941.90.89,NVE
Bacitracina Zíncica,1011,Bacitracin Zinc,1405-89-6,2941.90.89,NVE
Baclofeno,1012,Baclofen,1134-47-0,2922.49.90,NVE
Bametana,1021,Bamethan,3703-79-5,2922.50.99,NVE
Bamifilina,1023,Bamifylline,2016-63-9,2939.59.90,NVE
Barbexaclona  ,1030,Barbexaclone,4388-82-3,2933.54.00,NVE
Barbital  ,1032,Barbital,57-44-3,2933.53.21,NVE
Beclamida  ,1055,Beclamide,501-68-8,2924.29.69,NVE
Beclometasona,1058,Beclometasone,4419-39-0,2937.22.90,NVE
Benactizina  ,1081,Benactyzine,302-40-9,2922.19.99,NVE
Benazepril,1087,Benazepril,86541-75-5,2933.79.90,NVE
Benazeprilate,1089,Benazeprilat,86541-78-8,2933.79.90,NVE
Benciclano,1091,Bencyclane,2179-37-5,2922.19.99,NVE
Bendroflumetiazida,1103,Bendroflumethiazide,73-48-3,2935.90.99,NVE
Benfluorex  ,1105,Benfluorex,23602-78-0,2922.19.99,NVE
Benserazida,1117,Benserazide,322-35-0,2928.00.90,NVE
Benzbromarona,1130,Benzbromarone,3562-84-3,2932.99.99,NVE
Benzilpenicilina,1143,Benzylpenicillin,61-33-6,2941.10.49,NVE
Benzilpenicilina Benzatina Anidra,1144,Benzylpenicillin Benzathine Anhydrous,1538-09-6,2941.10.42,NVE
Benzilpenicilina Potássica,1145,Benzylpenicillin Potassium,113-98-4,2941.10.41,NVE
Benzilpenicilina Procaína Monoidratada,11131,Benzylpenicillin Procaine,6130-64-9,2941.10.43,NVE
Benzilpenicilina Sódica,1147,Benzylpenicillin Sodium,69-57-8,2941.10.49,NVE
Benznidazol,1153,Benznidazole,22944-85-0,2933.29.19,NVE
Benzoato de Benzila,1155,Benzyl Benzoate,120-51-4,2916.31.32,NVE
Benzoato de Betametasona,1216,Betamethasone Benzoate,22298-29-9,2937.22.90,NVE
Benzoato de Estradiol,3597,Estradiol Benzoate,50-50-0,2937.23.49,NVE
Benzoato de Rizatriptana,7762,Rizatriptan Benzoate,145202-66-0,2933.99.69,NVE
Benzocaína,1159,Benzocaine,94-09-7,2922.49.90,NVE
Benzoctamina  ,1162,Benzoctamine,17243-39-9,2921.49.90,NVE
Benzoilmetronidazol,1166,Benzoyl Metronidazole,13182-89-3,2933.29.12,NVE
Benzoxiquina,1170,Benzoxiquine,86-75-9,2933.49.90,NVE
Benzquinamida  ,1172,Benzquinamide,63-12-7,2933.99.99,NVE
Berberina,1180,Berberine,2086-83-1,2939.80.00,NVE
Besilato de Anlodipino,805,Amlodipine Besilate,111470-99-6,2933.39.99,NVE
Besilato de Atracúrio,926,Atracurium Besilate,64228-81-5,2939.19.00,NVE
Besilato de Cisatracúrio,1187,Cisatracurium Besilate,96946-42-8,2939.19.00,NVE
Betaergocriptina,1197,Ergocriptine Beta,20315-46-2,2939.69.49,NVE
Betaescina,1233,Escin Beta,11072-93-8,2938.90.90,NVE
Betafolitropina,1198,Follitropin Beta,110909-60-9,2937.19.40,NVE
Betaína,1200,Betaine,107-43-7,2923.90.10,NVE
Betaístina,1207,Betahistine,5638-76-6,2933.39.99,NVE
Betametasona,1213,Betamethasone,378-44-9,2937.22.90,NVE
Betaxolol,1229,Betaxolol,63659-18-7,2922.19.99,NVE
Bexaroteno  ,1238,Bexarotene,153559-49-0,2916.39.90,NVE
Bezafibrato,1240,Bezafibrate,41859-67-0,2924.29.99,NVE
Bicarbonato de Potássio,1248,Potassium Bicarbonate,298-14-6,2836.40.00,NVE
Bifonazol,1265,Bifonazole,60628-96-8,2933.29.99,NVE
Biotina,1279,Biotin,58-85-5,2936.29.31,NVE
Biperideno  ,1282,Biperiden,514-65-8,2933.39.32,NVE
Bisacodil,1287,Bisacodyl,603-50-9,2933.39.99,NVE
Bisoprolol,1299,Bisoprolol,66722-44-9,2922.19.99,NVE
Bissulfato de Clopidogrel,2319,Clopidogrel Hydrogen Sulfate,135046-48-9,2934.99.99,NVE
Bissulfato de Quinina Anidro,7579,Quinine Bisulfate Anhydrous,549-56-4,2939.20.00,NVE
Bissulfito Sódico de Menadiona Anidro,5635,Menadione Sodium Bisulfite Anhydrous,130-37-0,2914.79.21,NVE
Bleomicina,1317,Bleomycin,11056-06-7,2941.90.89,NVE
Bolasterona  ,1323,Bolasterone,1605-89-6,2937.29.90,NVE
Boldenona  ,1325,Boldenone,846-48-0,2937.29.90,NVE
Borato de Epinefrila,3443,Epinephryl Borate,5579-16-8,2937.90.90,NVE
Bosentana Anidra,1336,Bosentan Anhydrous,147536-97-8,2935.90.19,NVE
Brimonidina,1346,Brimonidine,59803-98-4,2933.29.99,NVE
Brinzolamida,1351,Brinzolamide,138890-62-7,2935.90.99,NVE
Brodimoprima,1357,Brodimoprim,56518-41-3,2933.59.29,NVE
Bromazepam  ,1366,Bromazepam,1812-30-2,2933.33.22,NVE
Brometo de Cetilpiridínio,1383,Cetylpyridinium Bromide,140-72-7,2933.39.99,NVE
Brometo de Emeprônio,1401,Emepronium Bromide,3614-30-0,2923.90.90,NVE
Brometo de Ipratrópio Anidro,1415,Ipratropium Bromide Anhydrous,22254-24-6,2939.99.90,NVE
Brometo de Metacolina,1418,Methacholine Bromide,333-31-3,2923.90.90,NVE
Brometo de Neostigmina,6287,Neostigmine Bromide,114-80-7,2924.29.99,NVE
Brometo de Pancurônio,1427,Pancuronium Bromide,15500-66-0,2933.39.99,NVE
Brometo de Pinavério,1430,Pinaverium Bromide,53251-94-8,2934.99.99,NVE
Brometo de Pipecurônio,1431,Pipecuronium Bromide,52212-02-9,2933.59.99,NVE
Brometo de Piridostigmina,7162,Pyridostigmine Bromide,101-26-8,2933.39.99,NVE
Brometo de Propantelina,1438,Propantheline Bromide,50-34-0,2932.99.99,NVE
Brometo de Rocurônio,7774,Rocuronium Bromide,119302-91-9,2934.99.99,NVE
Brometo de Suxametônio,8242,Suxamethonium Bromide,55-94-7,2923.90.90,NVE
Brometo de Tiotrópio,1449,Tiotropium Bromide,136310-93-5,2939.80.00,NVE
Brometo de Vecurônio,1456,Vecuronium Bromide,50700-72-6,2933.39.99,NVE
Bromexina,1459,Bromhexine,3572-43-8,2921.59.90,NVE
Bromidrato de Citalopram  ,2162,Citalopram Hydrobromide,59729-32-7,2932.99.99,NVE
Bromidrato de Dextrometorfano Anidro  ,2876,Dextromethorphan Hydrobromide Anhydrous,125-69-9,2933.39.99,NVE
Bromidrato de Difenilpiralina,2983,Diphenylpyraline Hydrobromide,5807-87-4,2933.39.99,NVE
Bromidrato de Dobutamina,3163,Dobutamine Hydrobromide,74753-15-4,2922.29.90,NVE
Bromidrato de Epinastina,3439,Epinastine Hydrobromide,127786-29-2,2933.99.39,NVE
Bromidrato de Escopolamina Anidro,3515,Scopolamine Hydrobromide Anhydrous,114-49-8,2939.79.19,NVE
Bromidrato de Fenoterol,3982,Fenoterol Hydrobromide,1944-12-3,2922.50.99,NVE
Bromidrato de Galantamina  ,4381,Galantamine Hydrobromide,1953-04-4,2939.80.00,NVE
Bromidrato de Hioscinamina,4727,Hyoscynamine Hydrobromide,306-03-6,2939.80.00,NVE
Bromidrato de Homatropina,4746,Homatropine Hydrobromide,51-56-9,2939.80.00,NVE
Bromidrato de Nalorfina  ,6208,Nalorphine Hydrobromide,1041-90-3,2939.19.00,NVE
Bromocriptina,1465,Bromocriptine,25614-03-3,2939.69.90,NVE
Bromofós,1469,Bromofos,2104-96-3,2920.19.90,NVE
Bromoprida,1471,Bromopride,4093-35-0,2924.29.51,NVE
Bromperidol,1474,Bromperidol,10457-90-6,2933.39.19,NVE
Bronfeniramina,1477,Brompheniramine,86-22-6,2933.39.99,NVE
Brovanexina,1489,Brovanexine,54340-61-3,2924.29.99,NVE
Broxiquinolina,1495,Broxyquinoline,521-74-4,2933.49.30,NVE
Buclizina,1503,Buclizine,82-95-1,2933.59.19,NVE
Budesonida,1512,Budesonide,51333-22-3,2937.29.90,NVE
Buflomedil,1523,Buflomedil,55837-25-7,2933.99.45,NVE
Bumadizona,1532,Bumadizone,3583-64-0,2928.00.90,NVE
Bumadizona Cálcica,1533,Bumadizone Calcium,69365-73-7,2928.00.90,NVE
Bumetanida,1536,Bumetanide,28395-03-1,2935.90.95,NVE
Bunolol,1547,Bunolol,27591-01-1,2922.19.99,NVE
Bupivacaína,1551,Bupivacaine,2180-92-9,2933.39.89,NVE
Buprenorfina  ,1555,Buprenorphine,52485-79-7,2939.11.21,NVE
Bupropiona  ,1557,Bupropione,34911-55-2,2922.39.90,NVE
Buspirona  ,1564,Buspirone,36505-84-7,2933.59.19,NVE
Busserrelina,1566,Buserelin,57982-77-1,2937.90.90,NVE
Bussulfano,1568,Busulfan,55-98-1,2905.39.90,NVE
Butambeno,1578,Butamben,94-25-7,2922.49.90,NVE
Butamirato,1580,Butamirate,18109-80-3,2922.19.99,NVE
Butaperazina  ,1590,Butaperazine,653-03-2,2934.30.90,NVE
Butilbrometo de Escopolamina,3517,Butylscopolamine Bromide,149-64-4,2939.79.11,NVE
Butirato de Clobetasona,2249,Clobetasone Butyrate,25122-57-0,2937.22.90,NVE
Butirato de Hidrocortisona,4668,Hydrocortisone Butyrate,13609-67-1,2937.29.90,NVE
Butriptilina  ,1629,Butriptyline,35941-65-2,2921.49.90,NVE
Cabergolina,1633,Cabergoline,81409-90-7,2939.69.90,NVE
Calcipotriol,1648,Calcipotriol,112965-21-6,2906.19.90,NVE
Calcitonina,1649,Calcitonin,9007-12-9,2937.90.90,NVE
Calcitonina (Salmão),1650,Calcitonin (Salmon),47931-85-1,2937.90.90,NVE
Calcitonina Humana,1651,Calcitonin Human,21215-62-3,2937.90.90,NVE
Calcitriol,1652,Calcitriol,32222-06-3,2936.29.29,NVE
Cambendazol,1661,Cambendazole,26097-80-3,2934.10.90,NVE
Camilofina,1664,Camylofin,54-30-8,2922.49.90,NVE
Candesartana,1672,Candesartan,139481-59-7,2933.99.99,NVE
Candesartana Cilexetila,1673,Candersatan Cilexetil,145040-37-5,2933.99.99,NVE
Capecitabina,1686,Capecitabine,154361-50-9,2934.99.29,NVE
Caproato de Fluocortolona,4163,Fluocortolone Caproate,303-40-2,2937.22.39,NVE
Caproato de Hidroxiprogesterona,4710,Hydroxyprogesterone Caproate,630-56-8,2937.23.99,NVE
Capsaicina,1694,Capsaicin,404-86-4,2939.80.00,NVE
Captodiamo  ,1697,Captodiame,486-17-9,2930.90.99,NVE
Captopril,1699,Captopril,62571-86-2,2933.99.49,NVE
Carbacol,1706,Carbachol,51-83-2,2923.90.90,NVE
Carbamato de Clorfenesina,2445,Chlorphenesin Carbamate,886-74-8,2909.49.90,NVE
Carbamazepina  ,1710,Carbamazepine,298-46-4,2933.99.32,NVE
Carbassalato de Cálcio,1717,Carbasalate Calcium,5749-67-7,2924.29.39,NVE
Carbazocromo,1720,Carbazochrome,69-81-8,2933.99.99,NVE
Carbenicilina,1723,Carbenicillin,4697-36-3,2941.10.90,NVE
Carbenicilina Dissódica,1724,Carbenicillin Disodium,4800-94-6,2941.10.90,NVE
