Nomenclatura  DCB (Original),Número DCB,Nomenclatura  DCI - INN,CAS Number,NCM,NVE
Dexmedetomidina  ,2850,Dexmedetomidine,113775-47-6,2933.29.99,NVE
Dexpantenol,2855,Dexpanthenol,81-13-0,2936.24.90,NVE
Dextroalfatocoferol,8716,Α-Tocopherol,59-02-9,2936.28.11,NVE
Dextrometorfano  ,2874,Dextromethorphan,125-71-3,2933.99.99,NVE
Dextropropoxifeno  ,2882,Dextropropoxyphene,469-62-5,2922.19.96,NVE
Diacereína,2892,Diacerein,13739-02-1,2918.99.99,NVE
Diacetato de Etinodiol,3701,Ethynodiol Diacetate,297-76-7,2937.23.91,NVE
Diatrizoato de Meglumina,5589,Meglumine Diatrizoate,131-49-7,2924.29.49,NVE
Diatrizoato de Sódio,164,Sodium Diatrizoate,737-31-5,2924.29.49,NVE
Diazepam  ,2904,Diazepam,439-14-5,2933.91.22,NVE
Diazóxido,2906,Diazoxide,364-98-7,2934.99.99,NVE
Dibecacina,2907,Dibekacin,34493-98-6,2941.90.99,NVE
Dibenzepina  ,2909,Dibenzepin,4498-32-2,2933.99.31,NVE
Dibunato de Sódio,2915,Sodium Dibunate,14992-59-7,2904.10.51,NVE
Dicicloverina,2922,Dicycloverine,77-19-0,2922.19.99,NVE
Diclofenaco,2926,Diclofenac,15307-86-5,2922.49.64,NVE
Diclofenaco Colestiramina,2931,Diclofenac Cholestyramin,240490-15-7,2922.49.69,NVE
Diclofenaco Dietilamônio,2927,Diclofenac Diethylammonium,78213-16-8,2922.49.63,NVE
Diclofenaco Epolamina,2928,Diclofenac Epolamine,119623-66-4,2933.99.49,NVE
Diclofenaco Potássico,2929,Diclofenac Potassium,15307-81-0,2922.49.62,NVE
Diclofenaco Sódico,2930,Diclofenac Sodium,15307-79-6,2922.49.61,NVE
Dicloridrato de Betaístina,1208,Betahistine Dihydrochloride,5579-84-0,2933.39.99,NVE
Dicloridrato de Buclizina,1504,Buclizine Dihydrochloride,129-74-8,2933.59.19,NVE
Dicloridrato de Camilofina,1665,Camylofin Dihydrochloride,5892-41-1,2922.49.90,NVE
Dicloridrato de Cetirizina,1949,Cetirizine Dihydrochloride,83881-52-1,2933.59.19,NVE
Dicloridrato de Clorexidina,2435,Chlorhexidine Dihydrochloride,3697-42-5,2925.29.23,NVE
Dicloridrato de Cloroquina,2488,Chloroquine Dihydrochloride,3545-67-3,2933.49.90,NVE
Dicloridrato de Espectinomicina,n.d.,Spectinomycin Dihydrochloride,22189-32-8,2941.90.99,NVE
Dicloridrato de Etambutol,3642,Ethambutol Dihydrochloride,1070-11-7,2922.19.99,NVE
Dicloridrato de Flufenazina  ,4125,Fluphenazine Dihydrochloride,146-56-5,2934.30.90,NVE
Dicloridrato de Flunarizina,4150,Flunarizine Dihydrochloride,30484-77-6,2933.59.14,NVE
Dicloridrato de Flupentixol  ,4183,Flupentixol Dihydrochloride,2413-38-9,2934.99.99,NVE
Dicloridrato de Flurazepam  ,4208,Flurazepam Dihydrochloride,1172-18-5,2933.91.39,NVE
Dicloridrato de Hidroxizina,4717,Hydroxyzine Dihydrochloride,2192-20-3,2933.59.19,NVE
Dicloridrato de Meclozina Anidro,5545,Meclozine Dihydrochloride Anhydrous,1104-22-9,2933.59.99,NVE
Dicloridrato de Mitoxantrona,6023,Mitoxantrone Dihydrochloride,70476-82-3,2922.50.99,NVE
Dicloridrato de Ornitina,6644,Ornithine Dihydrochloride,6211-16-1,2922.49.90,NVE
Dicloridrato de Pentamidina,n.d.,Pentamidine Dihydrochloride,50357-45-4,2925.29.90,NVE
Dicloridrato de Piritinol,7181,Pyritinol Dihydrochloride,10049-83-9,2933.39.99,NVE
Dicloridrato de Pramipexol Anidro  ,7297,Pramipexol Dihydrochloride Anhydrous,104632-25-9,2934.20.90,NVE
Dicloridrato de Pramipexol Monoidratado  ,10892,Pramipexole Dihydrochloride,191217-81-9,2934.20.90,NVE
Dicloridrato de Quinina,7581,Quinine Dihydrochloride,60-93-5,2939.20.00,NVE
Dicloridrato de Trientina,8884,Trientine Dihydrochloride,38260-01-4,2921.29.90,NVE
Dicloridrato de Trifluoperazina  ,8896,Trifluoperazine Dihydrochloride,440-17-5,2934.30.90,NVE
Dicloridrato de Trimetazidina,8918,Trimetazidine Dihydrochloride,13171-25-0,2933.59.19,NVE
Dicloridrato de Zuclopentixol  ,9316,Zuclopentixol Dihydrochloride,58045-23-1,2934.99.49,NVE
Dicloxacilina,2944,Dicloxacillin,3116-76-5,2941.10.90,NVE
Dicloxacilina Sódica,n.d.,Dicloxacillin Sodium,13412-64-1,2941.10.90,NVE
Didanosina,2948,Didanosine,69655-05-6,2934.99.39,NVE
Dietilcarbamazina,2958,Diethylcarbamazine,90-89-1,2933.59.19,NVE
Dietilestilbestrol,2960,Diethylstilbestrol,56-53-1,2907.29.00,NVE
Difenidol,2975,Difenidol,972-02-1,2933.39.99,NVE
Difenidramina,2978,Diphenhydramine,58-73-1,2922.19.99,NVE
Difenilpiralina,2982,Diphenylpyraline,147-20-6,2933.39.99,NVE
Difenoxilato  ,2986,Diphenoxylate,915-30-0,2933.33.41,NVE
Diflorasona,2995,Diflorasone,2557-49-5,2937.22.90,NVE
Diflucortolona,3000,Diflucortolone,2607-06-9,2937.22.39,NVE
Diflunisal,3005,Diflunisal,22494-42-4,2918.29.90,NVE
Difosfato de Cloroquina,2489,Chloroquine Diphosphate,50-63-5,2933.49.90,NVE
Difosfato de Dietilestilbestrol,4286,Diethylstilbestrol Diphosphate,522-40-7,2919.90.90,NVE
Difosfato de Primaquina,7367,Primaquine Diphosphate,63-45-6,2933.49.90,NVE
Difumarato de Emedastina,3352,Emedastine Difumarate,87233-62-3,2933.99.59,NVE
Digitoxina,3009,Digitoxin,71-63-6,2938.90.90,NVE
Digliconato de Clorexidina,2437,Chlorhexidine Digluconate,18472-51-0,2925.29.23,NVE
Digoxina,3010,Digoxin,20830-75-5,2938.90.90,NVE
Di-Hidralazina,3011,Dihydralazine,484-23-1,2933.99.99,NVE
Di-Hidroergocristina  ,3018,Dihydroergocristine,17479-19-5,2939.69.59,NVE
Di-Hidroergotamina  ,3020,Dihydroergotamine,511-12-6,2939.69.29,NVE
Di-Hidrogenofosfato de Rilmenidina,7726,Rilmenidine Dihydrogen Phosphate,85409-38-7,2934.99.99,NVE
Diltiazem,3037,Diltiazem,42399-41-7,2934.99.99,NVE
Dimaleato de Azatadina,982,Azatadine Dimaleate,3978-86-7,2933.39.99,NVE
Dimenidrinato,3051,Dimenhydrinate,523-87-5,2939.59.90,NVE
Dimercaprol,3057,Dimercaprol,59-52-9,2930.90.99,NVE
Dimesilato de Almitrina,571,Almitrine Dimesilate,29608-49-9,2933.69.99,NVE
Dimetacrina  ,3060,Dimetacrine,4757-55-5,2934.10.90,NVE
Dimetindeno,3069,Dimetindene,5636-83-9,2933.39.99,NVE
Dimetotiazina,3076,Dimetotiazine,7456-24-8,2935.90.99,NVE
Dinitrato de Isossorbida,5104,Isosorbide Dinitrate,87-33-2,2932.99.13,NVE
Dinoprostona,3092,Dinoprostone,363-24-6,2937.50.00,NVE
Dipiridamol,3116,Dipyridamole,58-32-2,2933.59.49,NVE
Dipirona,9564,Dipyrone,5907-38-0,2933.11.11,NVE
Dipirona Anidra,3121,Dipyrone Anhydrous,68-89-3,2933.11.11,NVE
Dipirona Magnésica,3120,Dipyrone Magnesium,6150-97-6,2933.11.12,NVE
Dipivefrina,3122,Dipivefrine,53265-63-6,2922.50.99,NVE
Dipropionato de Beclometasona,1059,Beclomethasone Dipropionate,5534-09-8,2937.22.90,NVE
Dipropionato de Betametasona,1217,Betamethasone Dipropionate,5593-20-4,2937.22.90,NVE
Dipropionato de Dietilestilbestrol,2963,Diethylstilbestrol Dipropionate,130-80-3,2915.50.20,NVE
Dipropionato de Estradiol,3600,Estradiol Dipropionate,113-38-2,2937.23.49,NVE
Diritromicina,3136,Dirithromycin,62013-04-1,2941.50.90,NVE
Disopiramida  ,3140,Disopyramide,3737-09-5,2933.39.99,NVE
Dissulfato de Capreomicina,1689,Capreomycin Disulfate,1405-36-3,2941.90.89,NVE
Dissulfiram  ,3145,Disulfiram,97-77-8,2930.30.22,NVE
Ditiocarbe Sódico,3149,Ditiocarb Sodium,148-18-5,2930.20.29,NVE
